County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Bannock,Idaho,87138,22849,12400,1635,5520,3423,42,4789,24104,11768,14350,DNC,DNC,DNC,DNC,DNC,2,3,0,0,2.2,D,INC,INC
Benewah,Idaho,9226,2084,2073,149,609,472,4,703,2881,1342,1414,DNC,DNC,DNC,DNC,DNC,22,5,2,0,11.2,F,INC,INC
Butte,Idaho,2611,626,612,45,168,131,1,200,801,392,226,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Canyon,Idaho,223499,63627,30762,4554,13744,8652,108,12057,60254,25416,66818,DNC,DNC,DNC,DNC,DNC,7,1,0,0,2.8,D,9.4,PASS
Franklin,Idaho,13726,4380,1943,313,802,523,7,738,3560,1194,1228,DNC,DNC,DNC,DNC,DNC,7,2,0,0,3.3,F,INC,INC
Idaho,Idaho,16513,3259,4606,233,1118,917,8,1429,5439,2587,1538,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Jerome,Idaho,24015,7394,3117,529,1431,904,12,1250,6274,2974,9335,DNC,DNC,DNC,DNC,DNC,10,1,0,0,3.8,F,INC,INC
Lemhi,Idaho,7961,1488,2409,106,544,458,4,726,2679,1154,533,DNC,DNC,DNC,DNC,DNC,11,4,0,0,5.7,F,11.4,PASS
Shoshone,Idaho,12796,2630,2923,188,866,662,6,988,4079,2371,1140,DNC,DNC,DNC,DNC,DNC,29,6,1,0,13.3,F,11.2,PASS
Adams,Illinois,65691,14779,13290,887,4405,3716,42,4807,20067,7803,5551,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Champaign,Illinois,209983,39434,26930,2368,14952,9930,133,11800,62828,37121,69623,5,0,0,1.7,C,0,0,0,0,0,A,7.6,PASS
Clark,Illinois,15596,3540,3097,213,1044,883,10,1144,4766,1702,562,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cook,Illinois,5180493,1129672,758167,67835,353721,259528,3271,321077,1538653,701869,3000419,44,9,0,19.2,F,2,0,0,0,0.7,B,10.3,PASS
DuPage,Illinois,928589,210552,143938,12643,62583,48073,587,60485,276877,60169,312483,15,0,0,5,F,0,0,0,0,0,A,8.8,PASS
Effingham,Illinois,34208,8104,6043,487,2267,1829,22,2336,10181,3277,1520,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Hamilton,Illinois,8163,1794,1783,108,550,481,5,628,2537,990,321,3,0,0,1,C,0,0,0,0,0,A,8.4,PASS
Jersey,Illinois,21847,4455,4260,268,1508,1256,14,1620,6851,1864,957,11,0,0,3.7,F,0,0,0,0,0,A,INC,INC
Jo Daviess,Illinois,21366,4017,6004,241,1485,1438,14,1929,7107,1656,1181,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kane,Illinois,534216,136009,73009,8167,34780,25892,338,32243,152367,45180,231005,14,0,0,4.7,F,0,0,0,0,0,A,8.4,PASS
Lake,Illinois,700832,168886,99810,10141,46434,35011,444,43799,204350,54353,273375,21,2,0,8,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
