County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Jackson,North Carolina,43327,7195,8527,827,3396,2912,29,3786,15566,6570,8205,4,0,0,1.3,C,3,2,0,0,2,C,7.8,PASS
Johnston,North Carolina,202675,51654,26989,5936,14366,12225,135,14831,64910,23374,66425,0,0,0,0,A,1,0,0,0,0.3,B,7.8,PASS
Lee,North Carolina,61452,14733,10118,1693,4420,3920,41,4954,20287,9459,25942,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lenoir,North Carolina,55976,12606,11088,1449,4087,3860,37,5046,19134,12193,28441,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lincoln,North Carolina,83770,17649,14802,2028,6269,5835,56,7384,29063,8555,12538,1,1,0,0.8,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Macon,North Carolina,35285,6590,10056,757,2670,2800,24,3938,13017,5700,3882,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Martin,North Carolina,22671,4587,5246,527,1699,1694,15,2272,8093,4571,10867,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mecklenburg,North Carolina,1093901,257713,122549,29615,79580,61334,729,71907,351251,126098,586264,14,0,0,4.7,F,0,0,0,0,0,A,8.8,PASS
Mitchell,North Carolina,15000,2740,3741,315,1149,1157,10,1572,5501,2383,1232,DNC,DNC,DNC,DNC,DNC,1,3,0,0,1.8,C,7,PASS
Montgomery,North Carolina,27271,6007,5597,690,2002,1903,18,2505,9398,4379,10067,0,0,0,0,A,0,0,0,0,0,A,6.3,PASS
New Hanover,North Carolina,232274,42800,41211,4918,17874,15270,154,19425,81539,34250,52600,0,0,0,0,A,0,0,0,0,0,A,4.9,PASS
Person,North Carolina,39507,8260,7725,949,2952,2804,26,3629,13807,5773,13402,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pitt,North Carolina,179914,38347,23789,4407,13404,10273,119,12422,59411,40201,82137,0,0,0,0,A,0,0,0,0,0,A,6.6,PASS
Rockingham,North Carolina,90690,18387,18552,2113,6823,6562,60,8560,32052,16003,25083,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Rowan,North Carolina,141262,31407,24830,3609,10386,9385,95,11958,47925,22298,40038,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Swain,North Carolina,14245,3148,2729,362,1046,957,9,1245,4857,2124,5509,0,0,0,0,A,8,4,0,0,4.7,F,8.3,PASS
Union,North Carolina,235908,63295,29928,7274,16454,14175,158,17063,74408,16361,66941,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wake,North Carolina,1092305,261531,126886,30054,79104,62737,729,74034,351225,89819,438820,1,0,0,0.3,B,2,0,0,0,0.7,B,7.7,PASS
Yancey,North Carolina,17903,3269,4607,376,1369,1387,12,1900,6577,3153,1405,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Billings,North Dakota,919,187,206,12,60,43,1,77,319,82,70,0,0,0,0,A,1,1,0,0,0.8,B,3.8,PASS
Burke,North Dakota,2100,526,436,34,129,92,1,164,687,195,139,0,0,0,0,A,2,0,0,0,0.7,B,2.9,PASS
Burleigh,North Dakota,95273,22130,15315,1440,5997,3806,52,6317,31431,6798,10826,0,0,0,0,A,5,3,0,0,3.2,D,INC,INC
Cass,North Dakota,181516,40855,21794,2658,11534,6440,99,9837,59543,18270,28532,0,0,0,0,A,1,0,0,0,0.3,B,6.6,PASS
Dunn,North Dakota,4332,1032,690,67,271,178,2,296,1425,443,811,0,0,0,0,A,1,1,0,0,0.8,B,INC,INC
McKenzie,North Dakota,13632,4292,1248,279,767,428,7,637,3957,1240,3078,0,0,0,0,A,1,1,0,0,0.8,B,4.2,PASS
Mercer,North Dakota,8267,1904,1592,124,522,368,5,641,2773,585,629,0,0,0,0,A,4,1,0,0,1.8,C,3.8,PASS
Oliver,North Dakota,1952,491,433,32,120,89,1,162,641,198,133,0,0,0,0,A,3,1,0,0,1.5,C,5.3,PASS
Ward,North Dakota,67744,15964,8640,1039,4245,2424,37,3774,21971,7057,11854,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Williams,North Dakota,35350,10135,3388,659,2069,1144,19,1699,10668,2265,7202,0,0,0,0,A,2,0,0,0,0.7,B,4.5,PASS
Allen,Ohio,102663,23667,18117,1840,7439,6780,68,8248,36270,13901,19806,9,0,0,3,D,0,0,0,0,0,A,7.8,PASS
Ashtabula,Ohio,97493,21521,18589,1673,7134,6834,65,8424,35277,16353,10409,11,0,0,3.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Athens,Ohio,65818,9568,8671,744,5347,3995,43,4498,24854,17237,7036,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,6.4,PASS
Belmont,Ohio,67505,12769,14072,993,5140,4952,45,6149,25412,8272,4973,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.9,PASS
Butler,Ohio,382378,89730,56176,6975,27618,23859,252,28189,133201,45821,74557,23,0,0,7.7,F,0,0,0,0,0,A,10.5,PASS
Clark,Ohio,134585,30121,26122,2341,9819,9299,89,11488,48322,19467,21492,12,0,0,4,F,0,0,0,0,0,A,8.7,PASS
Clermont,Ohio,205466,47330,33533,3679,14881,13589,136,16359,72814,16745,13589,9,0,0,3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Clinton,Ohio,42057,9690,7176,753,3046,2794,28,3385,14902,4802,2753,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cuyahoga,Ohio,1243857,257882,225983,20045,92829,84905,817,103312,453134,217166,512719,20,0,0,6.7,F,0,0,0,0,0,A,11,PASS
Delaware,Ohio,204826,53818,28062,4183,14228,12563,135,14821,69173,8271,31771,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Fayette,Ohio,28666,6693,5091,520,2066,1928,19,2353,10148,4227,2215,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Franklin,Ohio,1310300,304643,157391,23680,95292,75398,863,85844,450179,198207,490422,13,0,0,4.3,F,1,0,0,0,0.3,B,8.4,PASS
Geauga,Ohio,94031,21496,19159,1671,6798,6766,62,8451,33949,5341,4265,23,0,0,7.7,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greene,Ohio,167995,34671,28829,2695,12573,11139,111,13406,60873,18567,27513,3,0,0,1,C,0,0,0,0,0,A,7.8,PASS
Hamilton,Ohio,816684,187547,125251,14578,59375,51474,537,61127,286330,122843,285966,24,1,0,8.5,F,0,0,0,0,0,A,9.7,PASS
Harrison,Ohio,15174,3183,3227,247,1123,1125,10,1410,5618,2285,788,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Jefferson,Ohio,65767,12596,14173,979,4990,4875,43,6091,24750,12052,6313,1,0,0,0.3,B,2,0,0,0,0.7,B,9.5,PASS
Knox,Ohio,61893,14061,11231,1093,4502,4151,41,5072,22013,8039,2897,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lake,Ohio,230514,46209,46066,3592,17306,16634,152,20569,85597,16970,28285,24,0,0,8,F,0,0,0,0,0,A,7,PASS
Lawrence,Ohio,59866,13009,11313,1011,4404,4163,39,5117,21690,11093,3181,5,0,0,1.7,C,1,0,0,0,0.3,B,6.6,PASS
Licking,Ohio,175769,40733,28906,3166,12710,11580,116,13955,62123,15591,17928,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lorain,Ohio,309461,68166,56629,5299,22685,21254,204,26000,111522,42562,68373,4,0,0,1.3,C,0,0,0,0,0,A,7.5,PASS
Lucas,Ohio,429899,98562,70047,7661,31226,27868,283,33461,151668,78398,135938,16,1,0,5.8,F,1,0,0,0,0.3,B,8.5,PASS
Madison,Ohio,44413,9117,6863,709,3327,2935,30,3481,16146,4215,5188,4,0,0,1.3,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mahoning,Ohio,229642,45992,48145,3575,17249,16630,151,20712,85227,36520,56113,0,0,0,0,A,0,0,0,0,0,A,7.9,PASS
Medina,Ohio,179146,39987,31990,3108,13073,12354,118,15080,64507,11474,11087,1,0,0,0.3,B,0,0,0,0,0,A,7.6,PASS
Miami,Ohio,106222,24389,19773,1896,7692,7259,70,8921,37861,8329,8482,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Montgomery,Ohio,532331,117543,95583,9137,39064,35589,350,43324,190400,87187,156334,11,0,0,3.7,F,0,0,0,0,0,A,8.5,PASS
Noble,Ohio,14354,2634,3951,205,1093,1197,10,1558,5585,2109,716,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Portage,Ohio,162927,30531,26794,2373,12492,10893,107,12973,60319,17564,17391,0,0,0,0,A,0,0,0,0,0,A,7.3,PASS
Preble,Ohio,40997,9174,7893,713,2988,2868,27,3543,14778,3936,1535,2,0,0,0.7,B,1,0,0,0,0.3,B,7.8,PASS
Scioto,Ohio,75502,16334,13792,1270,5568,5137,50,6271,27241,16288,5056,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,INC,INC
Stark,Ohio,371574,79684,72293,6194,27432,26009,245,32089,135104,52330,50778,11,0,0,3.7,F,0,0,0,0,0,A,9.3,PASS
Summit,Ohio,541918,113228,97232,8801,40339,37151,357,45167,197440,63889,126757,2,0,0,0.7,B,0,0,0,0,0,A,9,PASS
Trumbull,Ohio,198627,40788,42931,3170,14808,14571,131,18270,73565,34413,25510,10,0,0,3.3,F,1,0,0,0,0.3,B,7.8,PASS
Warren,Ohio,232173,57270,33646,4452,16471,14719,154,17462,80296,11709,33080,15,0,0,5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washington,Ohio,60155,11844,12663,921,4536,4396,40,5477,22452,9251,3016,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wood,Ohio,130696,26642,19998,2071,9841,8218,86,9672,46960,14733,15623,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Adair,Oklahoma,22082,5869,3512,575,1680,1432,14,1969,7312,5372,13343,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Bryan,Oklahoma,47192,11054,8477,1083,3720,3143,30,4391,16217,7604,13824,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Caddo,Oklahoma,28977,7285,4881,714,2241,1908,19,2642,9768,5239,12439,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Canadian,Oklahoma,144447,37771,18770,3701,11111,8728,93,11688,47213,10336,35104,7,0,0,2.3,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Carter,Oklahoma,48177,12075,8103,1183,3733,3193,31,4416,16281,8335,14715,INC,INC,INC,INC,INC,2,0,0,0,0.7,B,INC,INC
Cherokee,Oklahoma,48675,10655,8130,1044,3923,3169,31,4376,16883,9862,25635,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Choctaw,Oklahoma,14668,3541,3036,347,1142,1059,9,1505,5113,3312,5789,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cleveland,Oklahoma,281669,60612,37659,5939,22971,17209,181,23030,96631,32077,80962,8,0,0,2.7,D,1,0,0,0,0.3,B,8.5,PASS
Comanche,Oklahoma,120422,28332,15192,2776,9583,7151,78,9524,40239,18303,53129,5,0,0,1.7,C,0,0,0,0,0,A,7,PASS
Cotton,Oklahoma,5776,1299,1119,127,462,424,4,593,2056,926,1389,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Creek,Oklahoma,71604,17201,12638,1685,5625,4936,46,6847,24700,9874,17424,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Dewey,Oklahoma,4894,1324,902,130,367,326,3,459,1622,580,910,7,0,0,2.3,D,2,0,0,0,0.7,B,INC,INC
Jefferson,Oklahoma,6123,1478,1307,145,476,443,4,633,2135,1473,1385,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Johnston,Oklahoma,10949,2573,2129,252,861,762,7,1074,3802,2068,3354,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Kay,Oklahoma,44161,11091,8539,1087,3393,2996,28,4239,14993,8751,11403,2,0,0,0.7,B,2,0,0,0,0.7,B,7.7,PASS
Le Flore,Oklahoma,49980,11997,9038,1176,3918,3422,32,4772,17207,10903,14386,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Lincoln,Oklahoma,34920,8310,6400,814,2750,2469,22,3437,12154,5069,6277,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Love,Oklahoma,10134,2461,1935,241,789,695,7,979,3480,1466,2949,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
McClain,Oklahoma,39985,10265,6194,1006,3085,2610,26,3566,13385,3592,8477,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mayes,Oklahoma,41107,9598,7576,940,3251,2866,26,3999,14311,6271,14522,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Nowata,Oklahoma,10218,2328,1962,228,814,735,7,1028,3606,1650,3399,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Oklahoma,Oklahoma,792582,203382,108318,19928,61212,48023,508,64776,260424,131185,351494,16,0,0,5.3,F,0,0,0,0,0,A,8.6,PASS
Osage,Oklahoma,47014,10217,9386,1001,3791,3454,30,4853,16853,6864,17226,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Ottawa,Oklahoma,31175,7643,5720,749,2422,2105,20,2949,10637,6210,10970,0,0,0,0,A,INC,INC,INC,INC,INC,INC,INC,INC
Pittsburg,Oklahoma,43877,9745,8790,955,3504,3109,28,4393,15498,8160,13530,1,0,0,0.3,B,0,0,0,0,0,A,8.1,PASS
Sequoyah,Oklahoma,41179,9421,7802,923,3274,2914,26,4078,14456,7636,15412,0,0,0,0,A,0,0,0,0,0,A,8.2,PASS
Tulsa,Oklahoma,648360,164042,93318,16073,50281,40387,415,54771,215266,89706,248773,8,2,0,3.7,F,2,0,0,0,0.7,B,9.6,PASS
Washington,Oklahoma,51843,12408,10099,1216,4052,3604,33,5085,17924,6607,14239,INC,INC,INC,INC,INC,1,0,0,0,0.3,B,INC,INC
Clackamas,Oregon,416075,89515,75318,6490,38275,23053,210,32094,142169,30022,76734,10,1,1,4.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Columbia,Oregon,52377,11067,9809,802,4842,2982,27,4171,18098,5302,6237,1,1,0,0.8,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Crook,Oregon,23867,4716,5944,342,2212,1503,12,2155,8599,3049,2862,DNC,DNC,DNC,DNC,DNC,5,5,0,0,4.2,F,9.1,PASS
Harney,Oregon,7329,1502,1793,109,673,451,4,646,2606,1089,962,DNC,DNC,DNC,DNC,DNC,6,2,0,0,3,D,9.8,PASS
Jackson,Oregon,219564,45245,48236,3280,20229,12911,111,18265,76940,32137,42944,11,0,0,3.7,F,3,11,3,0,8.5,F,INC,INC
Josephine,Oregon,87393,17118,22709,1241,8094,5581,44,8032,31670,14655,11623,DNC,DNC,DNC,DNC,DNC,0,7,0,0,3.5,F,10.3,PASS
Klamath,Oregon,67653,14706,14340,1066,6153,3903,34,5512,23338,12310,15294,DNC,DNC,DNC,DNC,DNC,6,9,2,0,7.8,F,12.4,FAIL
Lake,Oregon,7879,1513,1987,110,735,503,4,722,2864,1360,1233,DNC,DNC,DNC,DNC,DNC,12,7,0,0,7.5,F,INC,INC
Lane,Oregon,379611,69868,73392,5065,36150,21366,192,29676,133980,67217,70215,2,2,0,1.7,C,10,4,0,1,6.2,F,9.6,PASS
Marion,Oregon,346868,85432,54349,6194,30699,17436,176,23937,112048,48997,121561,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Multnomah,Oregon,811880,152901,109080,11085,77901,40721,411,54594,276833,95543,249344,3,1,0,1.5,C,4,0,0,0,1.3,C,7,PASS
Umatilla,Oregon,77516,19551,12120,1417,6806,3878,39,5328,24864,11557,26729,8,0,0,2.7,D,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Wasco,Oregon,26505,5871,5458,426,2399,1500,13,2112,9059,3467,6873,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Washington,Oregon,597695,136614,80268,9905,54488,29286,302,39553,195075,51789,208815,4,2,0,2.3,D,6,0,0,0,2,C,7.4,PASS
Adams,Pennsylvania,102811,20554,20954,2001,8300,6227,66,8622,35826,7919,11291,7,0,0,2.3,D,1,0,0,0,0.3,B,7.6,PASS
Allegheny,Pennsylvania,1218452,227749,230377,22168,99742,70310,778,96971,424109,138397,263512,23,1,0,8.2,F,26,2,0,0,9.7,F,12.6,FAIL
Armstrong,Pennsylvania,65263,12510,14338,1218,5322,4133,42,5756,23164,5917,1959,6,0,0,2,C,0,0,0,0,0,A,9.3,PASS
Beaver,Pennsylvania,164742,31988,35412,3114,13373,10199,105,14214,57942,18061,17483,12,0,0,4,F,1,0,0,0,0.3,B,9.1,PASS
Berks,Pennsylvania,420152,93834,72352,9133,32976,23183,269,31654,140195,46762,122246,13,0,0,4.3,F,4,0,0,0,1.3,C,8.5,PASS
Blair,Pennsylvania,122492,25017,25445,2435,9809,7349,78,10240,42311,17156,6675,2,0,0,0.7,B,1,0,0,0,0.3,B,8.1,PASS
Bradford,Pennsylvania,60833,13362,12955,1301,4782,3696,39,5160,20788,7495,2549,0,0,0,0,A,0,0,0,0,0,A,7,PASS
Bucks,Pennsylvania,628195,128216,117060,12480,50664,37204,402,50819,217670,35350,102058,30,3,0,11.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cambria,Pennsylvania,131730,25309,29736,2463,10694,8264,84,11606,46467,18520,9567,0,0,0,0,A,0,0,0,0,0,A,9.7,PASS
Centre,Pennsylvania,162805,24461,23195,2381,13913,8286,105,11136,57038,25901,24046,2,0,0,0.7,B,2,0,0,0,0.7,B,8.1,PASS
Chester,Pennsylvania,522046,118139,85335,11499,40938,28596,334,38704,173851,34311,108918,15,0,0,5,F,0,0,0,0,0,A,9.7,PASS
Clearfield,Pennsylvania,79388,14453,16291,1407,6554,4882,51,6749,28240,11323,5584,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Cumberland,Pennsylvania,251423,50918,46545,4956,20199,14275,161,19667,85944,17469,37225,DNC,DNC,DNC,DNC,DNC,2,0,0,0,0.7,B,8.1,PASS
Dauphin,Pennsylvania,277097,62355,47002,6069,21700,15153,177,20668,92113,35730,96578,5,0,0,1.7,C,3,0,0,0,1,C,8.6,PASS
Delaware,Pennsylvania,564751,123908,92607,12061,44571,30589,361,41541,188466,47800,190290,11,0,0,3.7,F,2,0,0,0,0.7,B,10.7,PASS
Elk,Pennsylvania,30169,5870,6640,571,2456,1935,19,2687,10733,2742,817,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Erie,Pennsylvania,272061,58156,48900,5661,21578,15252,174,20938,91833,39839,42933,3,0,0,1,C,0,0,0,0,0,A,8.1,PASS
Fayette,Pennsylvania,130441,25011,27603,2434,10630,8059,84,11199,45994,18475,10877,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Franklin,Pennsylvania,154835,34405,30425,3349,12132,8978,99,12455,52182,16759,19006,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Greene,Pennsylvania,36506,7075,6896,689,2971,2136,24,2935,12694,5334,2389,1,0,0,0.3,B,0,0,0,0,0,A,6.2,PASS
Indiana,Pennsylvania,84501,15312,16480,1490,6954,4917,54,6814,29585,12356,5220,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lackawanna,Pennsylvania,210793,43243,42061,4209,16869,12398,135,17208,72434,28929,33043,4,0,0,1.3,C,0,0,0,0,0,A,8.3,PASS
Lancaster,Pennsylvania,543557,127967,97560,12456,41843,29653,348,40927,178138,42131,100253,9,0,0,3,D,6,0,0,0,2,C,9.8,PASS
Lawrence,Pennsylvania,86184,17086,18951,1663,6952,5352,55,7490,30187,13319,7038,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lebanon,Pennsylvania,141314,32143,27397,3129,10986,8049,90,11180,47133,13802,26209,7,0,0,2.3,D,3,0,0,0,1,C,9.3,PASS
Lehigh,Pennsylvania,368100,83207,61507,8099,28764,19842,235,27070,121744,42991,134641,8,0,0,2.7,D,1,0,0,0,0.3,B,9,PASS
Luzerne,Pennsylvania,317646,62610,63184,6094,25696,18827,203,26071,110264,43839,62210,2,0,0,0.7,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lycoming,Pennsylvania,113664,23267,21935,2265,9111,6611,73,9135,39007,14054,10740,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mercer,Pennsylvania,110683,21463,23991,2089,8977,6834,71,9548,38872,15985,11023,8,0,0,2.7,D,0,0,0,0,0,A,9.3,PASS
Monroe,Pennsylvania,169507,33306,29181,3242,13828,9821,109,13274,58959,20202,59228,5,0,0,1.7,C,0,0,0,0,0,A,INC,INC
Montgomery,Pennsylvania,828604,178218,147124,17347,65743,46770,530,63941,280276,47317,204331,19,0,0,6.3,F,INC,INC,INC,INC,INC,INC,INC,INC
Northampton,Pennsylvania,304807,60926,57955,5930,24602,17747,195,24442,105196,29917,73337,13,0,0,4.3,F,2,0,0,0,0.7,B,8.4,PASS
Philadelphia,Pennsylvania,1584138,343970,216276,33481,125116,77536,1009,103994,517325,372322,1039969,28,3,0,10.8,F,0,0,0,0,0,A,10.1,PASS
Somerset,Pennsylvania,73952,13224,16535,1287,6115,4706,48,6574,26551,8289,4324,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Susquehanna,Pennsylvania,40589,7498,9604,730,3335,2676,26,3752,14634,5128,1525,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Tioga,Pennsylvania,40763,8140,8983,792,3280,2522,26,3534,14236,5894,1601,2,0,0,0.7,B,0,0,0,0,0,A,7.7,PASS
Washington,Pennsylvania,207346,40332,42617,3926,16847,12623,133,17492,72688,18274,16532,5,0,0,1.7,C,0,0,0,0,0,A,8.5,PASS
Westmoreland,Pennsylvania,350611,64117,79652,6241,28867,22565,224,31543,125835,31749,21836,7,0,0,2.3,D,0,0,0,0,0,A,8.7,PASS
York,Pennsylvania,448273,99020,78216,9638,35336,25144,287,34297,150669,38582,76751,6,0,0,2,C,0,0,0,0,0,A,9.3,PASS
Kent,Rhode Island,163861,30623,30962,2407,15783,9707,113,13087,57341,12620,19509,16,0,0,5.3,F,0,0,0,0,0,A,5,PASS
Providence,Rhode Island,636084,130676,97217,10272,59838,33355,439,44070,210372,98431,248891,16,0,0,5.3,F,0,0,0,0,0,A,8.8,PASS
Washington,Rhode Island,126179,20842,26164,1638,12462,7734,87,10569,45415,9507,11430,12,2,0,5,F,0,0,0,0,0,A,5.1,PASS
Abbeville,South Carolina,24541,4924,5343,352,1769,1736,15,2238,8735,4545,7624,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Aiken,South Carolina,169401,36849,32901,2637,11999,11369,103,14426,58536,25095,57686,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Anderson,South Carolina,200482,45852,36185,3282,14036,13075,121,16433,68045,28843,45645,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Berkeley,South Carolina,221091,52749,30410,3775,15382,13089,135,15752,72505,27687,80553,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Charleston,South Carolina,405905,79933,66621,5721,29612,25751,246,31548,140850,55971,142289,1,0,0,0.3,B,1,2,0,0,1.3,C,7.2,PASS
Cherokee,South Carolina,57078,13140,9598,940,3999,3645,35,4529,19241,9394,15558,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Chesterfield,South Carolina,45754,10032,8395,718,3249,3070,28,3867,15796,9453,18154,1,0,0,0.3,B,0,0,0,0,0,A,INC,INC
Colleton,South Carolina,37660,8390,7595,600,2647,2562,23,3277,12998,7440,16190,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Darlington,South Carolina,66802,14817,12678,1060,4713,4459,40,5644,22963,15356,30255,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Edgefield,South Carolina,27052,4894,5074,350,2014,1866,17,2337,9741,4489,11716,1,0,0,0.3,B,1,1,0,0,0.8,B,8.2,PASS
Florence,South Carolina,138159,32590,23471,2332,9591,8729,83,10871,46178,24375,66992,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
Greenville,South Carolina,514213,118364,81136,8471,36044,31886,312,39169,171994,55837,163199,1,0,0,0.3,B,3,2,0,0,2,C,8.3,PASS
Horry,South Carolina,344147,61715,82431,4417,25384,25499,209,33265,126421,48595,77287,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Lexington,South Carolina,295032,68294,46581,4888,20688,18574,179,22867,98995,36432,75300,DNC,DNC,DNC,DNC,DNC,0,2,0,0,1,C,8.5,PASS
Oconee,South Carolina,78374,15615,18196,1118,5647,5684,48,7409,28123,11159,12423,1,0,0,0.3,B,0,0,0,0,0,A,INC,INC
Pickens,South Carolina,124937,23712,20660,1697,9181,7896,76,9657,43583,19471,18028,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Richland,South Carolina,414576,88630,52790,6343,29740,23817,251,28023,138156,64210,239888,5,0,0,1.7,C,0,2,0,0,1,C,7.8,PASS
Spartanburg,South Carolina,313888,72501,50812,5189,21970,19654,190,24257,105176,41706,100392,3,0,0,1,C,0,0,0,0,0,A,8,PASS
York,South Carolina,274118,66495,39236,4759,19001,16696,166,20296,90243,26453,81682,5,0,0,1.7,C,INC,INC,INC,INC,INC,INC,INC,INC
Brookings,South Dakota,35232,7223,4195,517,2227,985,21,1873,12098,3744,3614,2,0,0,0.7,B,0,0,0,0,0,A,4.6,PASS
Brown,South Dakota,39316,9416,6747,674,2348,1375,23,2753,13167,4195,5537,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,6,PASS
